"见兰田',",潍坊市海洋与渔业局,山东省,水产养殖,山东省威海市奎文区东风东街6396号
"江崇波',",自然资源部北海局,山东省,海洋预报,山东省青岛崂山区云岭路27号
"江涛',",中国海洋大学,山东省,生物活性研究,山东省青岛市松岭路238号
"江文胜',",中国海洋大学,山东省,物理海洋学,山东省青岛市松岭路238号
"江晓路',",中国海洋大学,山东省,真菌活性多糖的发酵工艺及药理研究,山东省青岛市松岭路238号
"姜海滨',",山东省海洋资源与环境研究院,山东省,水产养殖,山东省烟台市经济开发区长江路216号
"姜宏川',",自然资源部北海局,山东省,水文气象,山东省青岛崂山区云岭路27号
"姜立生',",山东省海洋资源与环境研究院,山东省,水生动物营养与饲料,山东省烟台市经济开发区长江路216号
"姜人好',",山东省科学院海洋仪器仪表研究所,山东省,海洋水文气象观测,山东省青岛浙江路28号
"姜锡仁',",自然资源部北海局,山东省,海洋行政执法,山东省青岛崂山区云岭路27号
"姜作真',",烟台市水产研究所,山东省,港口与航道,山东省烟台市莱山区银海路26号
"蒋济同',",中国海洋大学,山东省,结构健康监测,山东省青岛市松岭路238号
"解相林',",日照职业技术学院水产学院,山东省,水产养殖,山东省日照市烟台北路16号
"隽云昌',",山东省潍坊市海洋环境检测中心站,山东省,水产养殖,山东省潍坊市寒亭区中国食品谷食品大街1号
"兰健',",中国海洋大学,山东省,物理海洋，海洋水文,山东省青岛市松岭路238号
"蓝先洪',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"类彦立',",中国科学院海洋研究所,山东省,微型底栖生物,山东省青岛市南海路7号
"李安春',",中国科学院海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市南海路7号
"李八方',",中国海洋大学,山东省,海洋活性物质极其功能制品研究,山东省青岛市松岭路238号
"李成林',",山东省海洋生物研究院,山东省,水产健康养殖技术,山东省青岛市崂山区游云路7号
"李春',",青岛海洋地质研究所,山东省,工程地质,山东省青岛市福州南路62号
"李春虎',",中国海洋大学,山东省,天然气和煤气脱硫,山东省青岛市松岭路238号
"李德顺',",昌邑市海洋与渔业局,山东省,水产养殖,山东省昌邑市平安街1669号
"李广雪',",中国海洋大学,山东省,天然气和煤气脱硫,山东省青岛市松岭路238号
"李国江',",莱州市海洋与渔业局,山东省,水产养殖,山东省莱州市莱州北路760号
"李军',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"李鲁晶',",山东省渔业技术推广站,山东省,水生生物增养殖技术,山东省济南市解放路162号
"李美真',",山东省海洋生物研究院,山东省,海藻生物学与栽培技术,山东省青岛市崂山区游云路7号
"李民',",山东省科学院海洋仪器仪表研究所,山东省,海洋技术,山东省青岛浙江路28号
"李培顺',",自然资源部北海局,山东省,物理海洋，海洋水文,山东省青岛崂山区云岭路27号
"李培英',",自然资源部第一海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市崂山区仙霞岭路6号
"李鹏程',",中国科学院海洋研究所,山东省,海洋化学,山东省青岛市南海路7号
"李萍',",自然资源部第一海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市崂山区仙霞岭路6号
"李琪',",中国海洋大学,山东省,水产动物遗传育种,山东省青岛市松岭路238号
"李瑞香',",自然资源部第一海洋研究所,山东省,海洋生物,山东省青岛市崂山区仙霞岭路6号
"李三忠',",中国海洋大学,山东省,构造地质与大地构造,山东省青岛市松岭路238号
"李绍全',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"李淑民',",海洋石油工程（青岛）有限公司,山东省,水产养殖,山东省青岛市经济技术开发区连江路492号
"李天保',",山东省海洋生物研究院,山东省,病害防治,山东省青岛市崂山区游云路7号
"李铁刚',",中国科学院海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市南海路7号
"李先国',",中国海洋大学,山东省,海洋有机生物地球化学,山东省青岛市松岭路238号
"李欣',",中国海洋大学,山东省,通信传输技术,山东省青岛市松岭路238号
"李新正',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"李秀启',",山东省淡水渔业研究院,山东省,水产养殖,山东省济南市历下区解放路162号
"李延团',",中国海洋大学,山东省,海洋活性产物的修饰与优化,山东省青岛市松岭路238号
"李扬',",中诚国际海洋工程勘察设计有限公司,山东省,港口与航道,山东省青岛市崂山区海尔路176号
"李予国',",中国海洋大学,山东省,电磁场数值模拟及资料解释方法,山东省青岛市崂山区松岭路238号
"李玉春',",山东大学,山东省,动物学与动物生态学,山东省济南市山大南路27号
"李越中',",山东大学,山东省,应用微生物学,山东省济南市山大南路27号
"李振春',",中国石油大学（华东）,山东省,应用地球物理,山东省青岛市黄岛区长江西路66号
"李自强',",总参气象水文空间天气总站,山东省,应用海洋学,NULL
"梁瑞才',",自然资源部第一海洋研究所,山东省,地质地球物理,山东省青岛市崂山区仙霞岭路6号
"梁瑞青',",山东省渔业技术推广站,山东省,水生生物增养殖技术,山东省济南市解放路162号
"梁英',",中国海洋大学,山东省,电磁场数值模拟及资料解释方法,山东省青岛市松岭路238号
"梁振林',",山东大学,山东省,海洋捕捞,山东省威海市文化西路180号
"林洪',",中国海洋大学,山东省,电磁场数值模拟及资料解释方法,山东省青岛市松岭路238号
"林学政',",自然资源部第一海洋研究所,山东省,海洋生物活性物质,山东省青岛市崂山区仙霞岭路6号
"刘爱英',",山东省海洋资源与环境研究院,山东省,海洋与渔业环境监测与评价,山东省烟台市经济开发区长江路216号
"刘保华',",国家深海基地管理中心,山东省,深海调查技术,山东省青岛市即墨区鳌山卫镇卫阳路1号
"刘晨光',",中国海洋大学,山东省,生物化学与纳米生物技术,山东省青岛市松岭路238号
"刘贯群',",中国海洋大学,山东省,地下水资源评价与管理,山东省青岛市松岭路238号
"刘光兴',",中国海洋大学,山东省,海洋生态学,山东省青岛市松岭路238号
"刘贵杰',",中国海洋大学,山东省,水下自治航行器主体设计,山东省青岛市松岭路238号
"刘红军',",中国海洋大学,山东省,水下自治航行器主体设计,山东省青岛市松岭路238号
"刘洪军',",山东省海洋生物研究院,山东省,水产养殖,山东省青岛市崂山区游云路7号
"刘怀山',",中国海洋大学,山东省,油气勘探,山东省青岛市松岭路238号
"刘建国',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"刘健',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"刘杰',",日照市水产名优苗种场,山东省,水产养殖,山东省日照市东港区张家台村北
"刘乐军',",自然资源部第一海洋研究所,山东省,海洋灾害地质与工程地质,山东省青岛市崂山区仙霞岭路6号
"刘丽娟',",山东省海洋资源与环境研究院,山东省,海洋生态环境监测,山东省烟台市经济开发区长江路216号
"刘梦侠',",山东省海洋生物研究院,山东省,水产养殖,山东省青岛市崂山区游云路7号
"刘颇贤',",日照市水产集团总公司,山东省,水产养殖,山东省日照市北京路231
"刘秦玉',",中国海洋大学,山东省,海洋动力学与海洋大气相互作用,山东省青岛市松岭路238号
"刘清华',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"刘升平',",青岛农业大学,山东省,水产养殖,山东省青岛市城阳区长城路700号
"刘世萱',",山东省科学院海洋仪器仪表研究所,山东省,海洋环境监测技术领域,山东省青岛浙江路28号
"刘守全',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"刘素美',",中国海洋大学,山东省,生源要素的海洋生物地球化学,山东省青岛市松岭路238号
"刘涛',",中国海洋大学,山东省,藻类育种学,山东省青岛市松岭路238号
"刘万顺',",中国海洋大学,山东省,藻类育种学,山东省青岛市松岭路238号
"刘伟民',",自然资源部第一海洋研究所,山东省,海洋可再生能源,山东省青岛市崂山区仙霞岭路6号
"刘相全',",山东省海洋资源与环境研究院,山东省,水产养殖,山东省烟台市经济开发区长江路216号
"刘晓',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"刘岩',",山东省科学院海洋仪器仪表研究所,山东省,海洋生态环境监测技术,山东省青岛浙江路28号
"刘焱雄',",自然资源部第一海洋研究所,山东省,海洋测绘,山东省青岛市崂山区仙霞岭路6号
"刘义豪',",山东省海洋资源与环境研究院,山东省,水生动物营养与饲料,山东省烟台市经济开发区长江路216号
"刘永胜',",烟台市水产研究所,山东省,港口与航道,山东省烟台市莱山区银海路26号
"刘玉会',",乳山市水产技术推广站,山东省,水产养殖,山东省乳山市府前路4号
"刘振华',",日照职业技术学院水产学院,山东省,水产养殖,山东省日照市烟台北路16号
"刘振林',",威海市环翠区海洋与渔业局,山东省,海洋观测、监测 海洋可再生能源开发利用,山东省威海市环翠区渔港路68号-2
"刘政海',",威海市渔业技术推广站,山东省,水产养殖,山东省威海市观海东路140号
"柳学周',",中国水产科学院黄海水产研究所,山东省,海洋生物,山东省青岛市南京路106号
"陆会胜',",自然资源部北海局,山东省,船舶管理,山东省青岛崂山区云岭路27号
"吕海良',",自然资源部北海局,山东省,物理海洋、海洋信息技术、海洋综合管理,山东省青岛崂山区云岭路27号
"吕咸青',",中国海洋大学,山东省,海洋动力学,山东省青岛市松岭路238号
"吕元萌',",山东荣信水产食品集团股份有限公司,山东省,卫检,山东省日照市东港区高科技园区富阳路
"吕振波',",山东省海洋资源与环境研究院,山东省,渔业工程,山东省烟台市经济开发区长江路216号
"吕志华',",中国海洋大学,山东省,海洋药物,山东省青岛市松岭路238号
"马德毅',",自然资源部第一海洋研究所,山东省,海洋生态环境保护,山东省青岛市崂山区仙霞岭路6号
"马继忠',",寿光市渔政监督管理站,山东省,水产养殖,山东省寿光市羊口镇望海街寿光渔港
"马建新',",山东省海洋资源与环境研究院,山东省,海洋与渔业环境监测与评价,山东省烟台市经济开发区长江路216号
"马绍赛',",中国水产科学院黄海水产研究所,山东省,海洋生物,山东省青岛市南京路106号
"毛文君',",中国海洋大学,山东省,海洋生物,山东省青岛市松岭路238号
"茅云翔',",中国海洋大学,山东省,藻类分子生物学与遗传育种,山东省青岛市松岭路238号
"缪锦来',",自然资源部第一海洋研究所,山东省,海洋生物工程与技术,山东省青岛市崂山区仙霞岭路6号
"牟信侃',",自然资源部北海局,山东省,工程地质,山东省青岛崂山区云岭路27号
"穆穆',",中国科学院海洋研究所,山东省,应用数学,山东省青岛市南海路7号
"聂爱宏',",山东省海洋生物研究院,山东省,水产养殖,山东省青岛市崂山区游云路7号
"潘克厚',",中国海洋大学,山东省,应用微藻生物学,山东省青岛市松岭路238号
"潘鲁青',",中国海洋大学,山东省,水产动物环境生理学,山东省青岛市松岭路238号
"潘秀莲',",山东省渔业技术推广站,山东省,海洋管理,山东省济南市解放路162号
"逄少军',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"彭英海',",山东美佳集团有限公司,山东省,水产加工,山东省日照市海滨一路119号
"漆随平',",山东省科学院海洋仪器仪表研究所,山东省,海洋环境监测技术及装备,山东省青岛浙江路28号
"齐鹏',",中国科学院海洋研究所,山东省,物理海洋学,山东省青岛市南海路7号
"乔方利',",自然资源部第一海洋研究所,山东省,海洋动力学,山东省青岛市崂山区仙霞岭路6号
"乔淑卿',",自然资源部第一海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市崂山区仙霞岭路6号
"秦勃',",中国海洋大学,山东省,海洋化学,山东省青岛市松岭路238号
"秦平',",自然资源部北海局,山东省,海洋标准计量,山东省青岛崂山区云岭路27号
"秦松',",中国科学院烟台海岸带研究所,山东省,海洋生物学,山东省烟台市莱山区春晖路17号
"秦蕴珊',",中国科学院海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市南海路7号
"邱兆星',",山东省海洋生物研究院,山东省,水产养殖,山东省青岛市崂山区游云路7号
"曲维功',",烟台市海洋捕捞增殖管理站,山东省,海洋管理,山东省烟台市银海路26号
"曲学忠',",山东省海洋资源与环境研究院,山东省,海洋捕捞,山东省烟台市经济开发区长江路216号
"任向文',",自然资源部第一海洋研究所,山东省,富钴结壳成矿作用,山东省青岛市崂山区仙霞岭路6号
"任永秋',",海阳市大山海洋与渔业工作站,山东省,水产养殖,山东省海阳市大山乡
"汝少国',",中国海洋大学,山东省,污染生态学,山东省青岛市松岭路238号
"沈志良',",中国科学院海洋研究所,山东省,海洋化学,山东省青岛市南海路7号
"绳秀珍',",中国海洋大学,山东省,水产动物病害与免疫学,山东省青岛市松岭路238号
"盛立芳',",中国海洋大学,山东省,海面风场,山东省青岛市松岭路238号
"石洪华',",自然资源部第一海洋研究所,山东省,海洋生态学,山东省青岛市崂山区仙霞岭路6号
"石强',",自然资源部北海局,山东省,物理海洋，海洋水文,山东省青岛崂山区云岭路27号
"石晓勇',",中国海洋大学,山东省,海面风场,山东省青岛市松岭路238号
"时洁',",烟台市水产研究所,山东省,海洋化学,暂无
"史大永',",中国科学院海洋研究所,山东省,海洋药物,山东省青岛市南海路7号
"史宏达',",中国海洋大学,山东省,海洋可再生能源,山东省青岛市松岭路238号
"史久新',",中国海洋大学,山东省,极地物理海洋学,山东省青岛市松岭路238号
"侍茂崇',",中国海洋大学,山东省,浅海海流动力学,山东省青岛市松岭路238号
"宋吉德',",威海市渔业技术推广站,山东省,海洋与渔业环境监测评价,山东省威海市观海东路140号
"宋金宝',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"宋理平',",山东省淡水渔业研究院,山东省,水产动物营养,山东省济南市历下区解放路162号
"宋林生',",中国科学院海洋研究所,山东省,海洋生物遗传学,山东省青岛市南海路7号
"宋全山',",日照市海洋与渔业局,山东省,轮机管理,山东省日照市北京路188号
"宋维彦',",日照职业技术学院水产学院,山东省,水产养殖,山东省日照市烟台北路16号
"宋向军',",山东省海洋资源与环境研究院,山东省,海洋生物,山东省烟台市经济开发区长江路216号
"宋志乐',",烟台市芝罘区渔业技术推广站,山东省,海洋捕捞,山东省烟台市北马路194号
"隋正红',",中国海洋大学,山东省,原生生物学,山东省青岛市松岭路238号
"孙宝江',",中国石油大学（华东）,山东省,油气井流体力学与工程,山东省青岛市黄岛区长江西路66号
"孙澈',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"孙承君',",自然资源部第一海洋研究所,山东省,生物化学,山东省青岛市崂山区仙霞岭路6号
"孙春录',",烟台经济技术开发区农业与海洋渔业局,山东省,海洋捕捞,山东省烟台市长江路129号
"孙福新',",山东省海洋生物研究院,山东省,水产养殖,山东省青岛市崂山区游云路7号
"孙国华',",山东省海洋资源与环境研究院,山东省,海洋生物遗传育种与海洋生物生态,山东省烟台市经济开发区长江路216号
"孙吉亭',",山东省海洋经济文化研究院山东社会科学院,山东省,海洋信息化、海洋经济、海洋战略规划与法律,山东省青岛市金湖路8号
"孙即霖',",中国海洋大学,山东省,大尺度海气相互作用和气候变化,山东省青岛市松岭路238号
"孙继昌',",山东省科学院海洋仪器仪表研究所,山东省,海洋观测、监测 海洋可再生能源开发利用,山东省青岛浙江路28号
"孙坤言',",乳山市水生动物疫病防疫站,山东省,水产养殖,山东省乳山市府前路6号
"孙黎',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"孙培艳',",自然资源部北海局,山东省,海洋化学,山东省青岛崂山区云岭路27号
"孙圣堂',",自然资源部北海局,山东省,海洋测绘,山东省青岛崂山区云岭路27号
"孙世春',",中国海洋大学,山东省,海洋无脊椎动物生物学,山东省青岛市松岭路238号
"孙松',",中国科学院海洋研究所,山东省,海洋生态,山东省青岛市南海路7号
"孙湘平',",自然资源部第一海洋研究所,山东省,中国海区域海洋学,山东省青岛市崂山区仙霞岭路6号
"孙修勤',",自然资源部第一海洋研究所,山东省,海洋生物活性物质,山东省青岛市崂山区仙霞岭路6号
"孙永杰',",烟台市芝罘区渔业技术推广站,山东省,海洋捕捞,山东省烟台市北马路194号
"孙玉增',",山东省海洋资源与环境研究院,山东省,渔业产品质量安全检验与评价,山东省烟台市经济开发区长江路216号
"孙玉忠',",山东省日照市水产研究所,山东省,港口与航道,山东省日照市东港区碧海路88号
"汤毓祥',",自然资源部第一海洋研究所,山东省,海洋生物活性物质,山东省青岛市崂山区仙霞岭路6号
"唐学玺',",中国海洋大学,山东省,海洋生态学,山东省青岛市松岭路238号
"唐玉光',",寿光市渔政监督管理站,山东省,海洋观测、监测 海洋可再生能源开发利用,山东省寿光市羊口镇望海街寿光渔港
"唐原广',",中国海洋大学,山东省,海洋仪器的研制与开发,山东省青岛市松岭路238号
"提建新',",莱州市海洋与渔业局,山东省,水产养殖,山东省莱州市莱州北路760号
"田纪伟',",中国海洋大学,山东省,海洋仪器的研制与开发,山东省青岛市松岭路238号
"田黎',",自然资源部第一海洋研究所,山东省,海洋生物资源利用,山东省青岛市崂山区仙霞岭路6号
"万荣',",中国海洋大学,山东省,增殖养殖工程水动力学,山东省青岛市松岭路238号
"汪东风',",中国海洋大学,山东省,食品化学与营养,山东省青岛市松岭路238号
"王保栋',",自然资源部第一海洋研究所,山东省,海洋化学,山东省青岛市崂山区仙霞岭路6号
"王斌贵',",中国科学院海洋研究所,山东省,海洋药物,山东省青岛市南海路7号
"王波',",自然资源部第一海洋研究所,山东省,水产养殖,山东省青岛市崂山区仙霞岭路6号
"王长云',",中国海洋大学,山东省,海洋药物化学,山东省青岛市松岭路238号
"王春生',",山东省淡水渔业研究院,山东省,水产动物营养,山东省济南市历下区解放路162号
"王东明',",山东省科学院海洋仪器仪表研究所,山东省,海洋仪器的研究与开发,山东省青岛浙江路28号
"王法明',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"王凡',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"王芳',",中国海洋大学,山东省,水产养殖生态学,山东省青岛市松岭路238号
"王刚',",自然资源部北海局,山东省,环境生态,山东省青岛崂山区云岭路27号
"王广策',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"王海涛',",文登市水产技术推广站,山东省,水产养殖,山东省威海市文山路50号
"王海增',",中国海洋大学,山东省,海水资源利用,山东省青岛市松岭路238号
"王厚杰',",中国海洋大学,山东省,海洋沉积动力学,山东省青岛市松岭路238号
"王际英',",山东省海洋资源与环境研究院,山东省,水生动物营养与饲料,山东省烟台市经济开发区长江路216号
"王佳',",中国海洋大学,山东省,腐蚀电化学,山东省青岛市松岭路238号
"王建国',",中国海洋大学,山东省,嵌入式技术与智能仪器,山东省青岛市松岭路238号
"王江涛',",中国海洋大学,山东省,赤潮与富营养化,山东省青岛市松岭路238号
"王金星',",山东大学,山东省,海洋生物学,山东省济南市山大南路27号
"王晶',",中国海洋大学,山东省,赤潮与富营养化,山东省青岛市松岭路238号
"王静凤',",中国海洋大学,山东省,海洋生物活性物质,山东省青岛市松岭路238号
"王雷',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"王莉萍',",中国海洋大学,山东省,随机海浪,山东省青岛市松岭路238号
"王令充',",中国海洋大学,山东省,海洋生物资源开发利用,暂无
"王茂剑',",山东省海洋资源与环境研究院,山东省,水生动物营养与饲料,山东省烟台市经济开发区长江路216号
"王宁',",中国海洋大学,山东省,水声学,山东省青岛市松岭路238号
"王培刚',",自然资源部北海局,山东省,海岛管理技术研究,山东省青岛崂山区云岭路27号
"王启',",中国海洋大学,山东省,大尺度海气相互作用,山东省青岛市松岭路238号
"王钦东',",山东省淡水渔业研究院,山东省,水产养殖,山东省济南市历下区解放路162号
"王圣洁',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"王世党',",文登市水产技术推广站,山东省,水产养殖,山东省威海市文山路50号
"王世信',",山东省海洋资源与环境研究院,山东省,水生动物营养与饲料,山东省烟台市经济开发区长江路216号
"王树杰',",中国海洋大学,山东省,海洋工程装备与仪器,山东省青岛市松岭路238号
"王伟',",中国海洋大学,山东省,热盐环流,山东省青岛市松岭路238号
"王卫民',",海阳市海洋综合管理站,山东省,水产养殖,山东省海阳市海滨中路196号
"王文琪',",青岛农业大学,山东省,海洋生物学,山东省青岛市城阳区长城路700号
"王昕',",中国海洋大学,山东省,海洋防腐材料及工艺,山东省青岛市松岭路238号
"王修田',",中国海洋大学,山东省,石油与天然气水合物勘探,山东省青岛市松岭路238号
"王秀芹',",中国海洋大学,山东省,海洋温盐分析预报,山东省青岛市松岭路238号
"王雪梅',",山东省日照市水产研究所,山东省,港口与航道,山东省日照市东港区碧海路88号
"王延江',",中国石油大学（华东）,山东省,信息与通信工程,山东省青岛市黄岛区长江西路66号
"王业桂',",总参气象水文空间天气总站,山东省,电机,NULL
"王银邦',",中国海洋大学,山东省,工程断裂力学,山东省青岛市松岭路238号
"王印庚',",中国水产科学院黄海水产研究所,山东省,海洋生物,山东省青岛市南京路106号
"王颖',",山东省海洋生物研究院,山东省,水产品利用与安全,山东省青岛市崂山区游云路7号
"王永刚',",自然资源部第一海洋研究所,山东省,潮汐潮流及环流的分析和数值模拟研究,山东省青岛市崂山区仙霞岭路6号
"王勇强',",山东省海洋生物研究院,山东省,水产养殖药物与病害防治,山东省青岛市崂山区游云路7号
"王玉新',",山东省淡水渔业研究院,山东省,淡水养殖,山东省济南市历下区解放路162号
"王育红',",山东省海洋资源与环境研究院,山东省,海洋资源与生态,山东省烟台市经济开发区长江路216号
"王云中',",山东省海洋捕捞生产管理站,山东省,渔业增殖,山东省烟台市北马路193号
"王运国',",山东省海洋捕捞生产管理站,山东省,海洋捕捞管理,山东省烟台市北马路193号
"王昭萍',",中国海洋大学,山东省,贝类苗种繁育级细胞遗传育种,山东省青岛市松岭路238号
"王珍岩',",中国科学院海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市南海路7号
"王振杰',",中国石油大学（华东）,山东省,大地测量学与测量工程,山东省青岛市黄岛区长江西路66号
"王震宇',",中国海洋大学,山东省,水环境污染物迁移转化及污染修复,山东省青岛市松岭路238号
"王宗灵',",自然资源部第一海洋研究所,山东省,潮汐潮流和海洋环流研究 海洋环境数值模拟,山东省青岛市崂山区仙霞岭路6号
"魏邦福',",日照市渔业技术推广站,山东省,轮机管理,山东省日照市海滨一路109号
"魏恩泊',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"魏合龙',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"魏泽勋',",自然资源部第一海洋研究所,山东省,潮汐潮流和海洋环流研究 海洋环境数值模拟,山东省青岛市崂山区仙霞岭路6号
"魏振钢',",中国海洋大学,山东省,软件工程与信息系统,山东省青岛市松岭路238号
"魏振华',",山东省海洋资源与环境研究院,山东省,水生动物营养与饲料,山东省烟台市经济开发区长江路216号
"魏志强',",中国海洋大学,山东省,软件工程与信息系统,山东省青岛市松岭路238号
"温海深',",中国海洋大学,山东省,鱼类生理与繁育,山东省青岛市松岭路238号
"吴德星',",中国海洋大学,山东省,海洋环流动力学,山东省青岛市松岭路238号
"吴海一',",山东省海洋生物研究院,山东省,海洋生态学,山东省青岛市崂山区游云路7号
"吴建政',",中国海洋大学,山东省,海洋地质与工程地质调查研究,山东省青岛市松岭路238号
"吴克俭',",中国海洋大学,山东省,波流相互作用理论,山东省青岛市松岭路238号
"吴桑云',",自然资源部第一海洋研究所,山东省,海岛与海岸带,山东省青岛市崂山区仙霞岭路6号
"吴时国',",中国科学院海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市南海路7号
"吴兴伟',",山东省海洋资源与环境研究院,山东省,海域使用管理,山东省烟台市经济开发区长江路216号
"吴永华',",自然资源部第一海洋研究所,山东省,古海洋学,山东省青岛市崂山区仙霞岭路6号
"吴永亭',",自然资源部第一海洋研究所,山东省,海洋测绘,山东省青岛市崂山区仙霞岭路6号
"夏树伟',",中国海洋大学,山东省,海洋防污剂的定量构效关系,山东省青岛市松岭路238号
"相建海',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"肖志忠',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"邢红艳',",山东省海洋资源与环境研究院,山东省,海洋与渔业环境监测评价,山东省烟台市经济开发区长江路216号
"邢婧',",中国海洋大学,山东省,病害免疫,山东省青岛市松岭路238号
"徐奎栋',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"徐兴平',",中国石油大学（华东）,山东省,海洋石油装备,山东省青岛市黄岛区长江西路66号
"徐兴永',",自然资源部第一海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市崂山区仙霞岭路6号
"徐永生',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"徐珍祥',",山东水产外经总公司,山东省,检验检测,山东省济南市解放路162号
"许建杰',",乳山市水生动物疫病防疫站,山东省,水产养殖,山东省乳山市府前路6号
"薛长湖',",中国海洋大学,山东省,海洋生物资源利用,山东省青岛市松岭路238号
"鄢全树',",自然资源部第一海洋研究所,山东省,岩石地球化学,山东省青岛市崂山区仙霞岭路6号
"阎军',",中国科学院海洋研究所,山东省,海底构造与海洋地球物理,山东省青岛市南海路7号
"杨宝清',",山东省海洋捕捞生产管理站,山东省,海洋牧场,山东省烟台市北马路193号
"杨官品',",中国海洋大学,山东省,环境生物的分子遗传学,山东省青岛市松岭路238号
"杨桂朋',",中国海洋大学,山东省,海洋化学,山东省青岛市松岭路238号
"杨红生',",中国科学院海洋研究所,山东省,海洋生态,山东省青岛市南海路7号
"杨建敏',",山东省海洋资源与环境研究院,山东省,水产养殖与水生动物遗传育种,山东省烟台市经济开发区长江路216号
"杨建强',",自然资源部北海局,山东省,海洋生物,山东省青岛崂山区云岭路27号
"杨金森',",中国海洋大学,山东省,海洋政策,暂无
"杨俊杰',",中国海洋大学,山东省,水泥土桩的承载特性,山东省青岛市松岭路238号
"杨立',",山东省科学院海洋仪器仪表研究所,山东省,海洋环境监测仪器装备研究与制作,山东省青岛浙江路28号
"杨玲',",山东省淡水渔业研究院,山东省,水产养殖,山东省济南市历下区解放路162号
"杨秀生',",山东省海洋生物研究院,山东省,海水养殖病害防治,山东省青岛市崂山区游云路7号
"杨永春',",中国海洋大学,山东省,海洋工程结构动力分析,山东省青岛市松岭路238号
"杨永增',",自然资源部第一海洋研究所,山东省,海浪数值模拟,山东省青岛市崂山区仙霞岭路6号
"杨作升',",中国海洋大学,山东省,海浪与海上结构物相互作用,山东省青岛市松岭路238号
"姚振刚',",日照市海水育苗场,山东省,病害防治,山东省临沂市石臼文化路28号
"叶海斌',",山东省海洋生物研究院,山东省,病害防治,山东省青岛市崂山区游云路7号
"叶思源',",青岛海洋地质研究所,山东省,环境地质,山东省青岛市福州南路62号
"尹宝树',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"尹延鸿',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"印萍',",青岛海洋地质研究所,山东省,海底构造与海洋地球物理,山东省青岛市福州南路62号
"尤锋',",中国科学院海洋研究所,山东省,海洋生物,山东省青岛市南海路7号
"游光荣',",军事科学院评估论证研究中心,山东省,管理科学与工程,NULL
"于炳礼',",烟台市海洋捕捞增殖管理站,山东省,海洋捕捞,山东省烟台市银海路26号
"于炳亮',",山东省科学院海洋仪器仪表研究所,山东省,海洋仪器研究与开发,山东省青岛浙江路28号
"于成宝',",烟台经济技术开发区农业与海洋渔业局,山东省,轮机管理,山东省烟台市长江路129号
"于定勇',",中国海洋大学,山东省,海浪与海上结构物相互作用,山东省青岛市松岭路238号
"于非',",中国科学院海洋研究所,山东省,物理海洋，海洋水文,山东省青岛市南海路7号
"于广利',",中国海洋大学,山东省,糖化学与糖药物学,山东省青岛市松岭路238号
"于洪军',",自然资源部第一海洋研究所,山东省,海洋地质与第四纪地质,山东省青岛市崂山区仙霞岭路6号
"于良民',",中国海洋大学,山东省,环境友好型海洋防护材料与应用技术,山东省青岛市松岭路238号
